Trade,isTrade
"""I'm willing to trade 15 stones for 23 iron. Is that something you'd be interested in?""",1
"""I'd like to make a trade. I have 4 wheat that I'm willing to offer for 23 coal.""",1
"""I'd like to acquire 44 coal and am willing to offer 37 aluminum in exchange. Are you interested in making a trade?""",1
"""If you're interested in trading, I have 30 wood that I'm willing to offer for 41 aluminum.""",1
"""How about we make a trade? I'm willing to offer 12 coal in exchange for 12 gold.""",1
"""I'm willing to offer 42 wheat for 12 stones. Are you open to a trade?""",1
"""I'd like to offer 21 gold for 38 aluminum. Would you be interested in making a trade?""",1
"""I'm willing to trade 36 wood for 14 stones. Let me know if you're interested.""",1
"""I'd like to trade 43 gold for 30 aluminum. What do you think?""",1
"""I'd like to make a trade. I have 44 wheat that I'm willing to offer for 6 gold.""",1
"""I have 13 coal that I can trade for 18 aluminum. Are you interested in making a deal?""",1
"""I'm interested in acquiring 23 horses. I have 32 wood that I can offer in exchange. Would you consider the trade?""",1
"""I'd like to acquire 18 horses and can offer 7 wheat in exchange. Would you be interested in trading?""",1
"""I'm looking to acquire 2 wood and am willing to offer 38 iron in exchange. Let me know if you're interested in a trade.""",1
"""I'm looking to acquire 25 aluminum and am willing to offer 28 wood in exchange. Would you be interested?""",1
"""I have 8 coal that I'm willing to trade for 23 horses. Would you be interested?""",1
"""How about we make a trade? I'm willing to offer 44 stones in exchange for 6 wood.""",1
"""I'm looking to acquire 12 iron and am willing to trade 39 horses for them. Would you be interested?""",1
"""Are you open to a trade? I have 48 gold that I'm willing to exchange for 23 wheat.""",1
"""I'd like to offer 31 wheat for 39 aluminum. Would you be interested in making a trade?""",1
"""I'm interested in acquiring 27 wheat and am willing to offer 40 coal in exchange. Are you open to a trade?""",1
"""How about we make a deal? I have 20 stones that I can trade for 4 horses.""",1
"""I have 18 wood that I'm looking to exchange for 1 wheat. Would you like to make a trade?""",1
"""I'm willing to trade 35 wheat for 9 gold. Let me know if you're interested.""",1
"""I'm looking to acquire 37 gold and am willing to trade 28 coal for them. Would you be interested?""",1
"""If you're interested in trading, I have 41 horses that I'm willing to offer for 21 stones.""",1
